"cnpj","endereco","numero","complemento","bairro","cd_municipio","uf","cep"
"43322709000116","205 LOTE 01 LOJA 12 12","12","","SUL AGUAS CLARAS","9701","DF","71925000"
"04111457000124","SHC/NORTE CL QUADRA 215 BLOCO B 49","49","LOJA 27 SUBSOLO","ASA NORTE","9701","DF","70310500"
"04111808000105","QNO 03 CONJUNTO K LOTE 01","01","","CEILANDIA","9701","DF","72250311"
"51982947000186","QUADRA 42 16","16","","DEL LAGO I (ITAPOA)","9701","DF","71591360"
"31051908000158","QR 404 CONJUNTO 8 01","01","","SAMAMBAIA NORTE (SAMAMBAIA)","9701","DF","72318109"
"32383921000177","QI 7 CONJUNTO W 2","2","LOJA 1","GUARA I","9701","DF","71020246"
"04117262000191","SHCN CL QUADRA 113 BLOCO D S/N","S/N","LOJA 69 TERREO","ASA NORTE","9701","DF","70763540"
"35885048000109","MORRO DA CRUZ Q43","Q43","CONJ 10","RESIDENCIAL MORRO DA CRUZ (SAO SEBASTIAO)","9701","DF","71693500"
"04118553000102","SHC/SW CLSW QUADRA 100 BLOCO A LOJA 26 E S/N","S/N","","SETOR SUDOESTE","9701","DF","70673633"
"04120396000161","SHCN CL QUADRA 114 BLOCO C S/N","S/N","LOJA 70","ASA NORTE","9701","DF","70764530"
"32576238000156","SHN QUADRA 1 BLOCO D S/N","S/N","CONJ  A                   ANDAR 12                  SALA  1213","ASA NORTE","9701","DF","70701040"
"04124131000131","SEP/SUL EQ. 714/914 CONJUNTO D SALA 408 41","41","CENT. EXEC. SABIN","ASA SUL","9701","DF","70310500"
"04124759000137","CENTRAL LOTE 1124","1124","LOJA  05","NUCLEO BANDEIRANTE","9701","DF","71720560"
"04125687000142","QNP 15 CONJ. A CASA 21","21","LOJA 02","P' NORTE","9701","DF","72241601"
"04129578000101","SHC/SUL COM LOCAL QD 308 BLOCO A LOJA 18 S/N","S/N","","ASA SUL","9701","DF","70355510"
"04130255000120","SHC/NORTE CL 315 BL C, LJ 34","34","","ASA NORTE","9701","DF","70310500"
"04137459000192","SHC/SW CLSW 103","103","BLOCO B, LOJA 01","SUDOESTE","9701","DF","70310500"
"31216086000118","SEPS 710/910 SALA 434","434","CONJ  D                   EDIF  VIA BRASIL","ASA SUL","9701","DF","70390108"
"04138182000112","QDA 04 CONJ C LOTE 20 LOJA 07","07","SRL","PLANALTINA","9701","DF","73320030"
"04138387000106","AE 20/21","20/21","LD OESTE LJ 24 TERREO","GAMA","9701","DF","72405080"
"04138910000196","QN 614 CONJUNTO C LOTE 09","09","","SAMAMBAIA","9701","DF","72310108"
"04139976000109","QNE 16 LOTE 20","20","LOJA 03","TAGUATINGA NORTE","9701","DF","72125180"
"04141330000158","02 CONJUNTO A LOTE 04 LOJA 01","01","SETOR SUL RESIDENCIAL","GAMA","9701","DF","72491010"
"14556387000171","SERRA AZUL QD 16","QD 16","CASA 06","SOBRADINHO","9701","DF","73070045"
"04144807000159","RODOVIARIA DE BRASILIA SN","SN","MZNINOOESTE               LOJA  28","ZONA CIVICO-ADMINISTRATIVA","9701","DF","70089000"
"50917737000141","AR 12 CONJUNTO 18 9","9","","SETOR OESTE (SOBRADINHO II)","9701","DF","73062218"
"57852994000191","QI 8 CONJUNTO K 32","32","","GUARA I","9701","DF","71010115"
"04154557000138","15 LOTE 14 LOJA A","A","SETOR LESTE COML","GAMA","9701","DF","72491010"
"27411691000172","SIG QUADRA 8 SN","SN","LOTE  2325/2335","ZONA INDUSTRIAL","9701","DF","70610480"
"04157213000182","QNB 18 CASA 05","05","FRENTE","TAGUATINGA","9701","DF","72115180"
"04157931000159","QNM 18 CONJUNTO F LOTE 04","04","SALA 204","CEILANDIA","9701","DF","72210080"
"04158023000180","SHC/SW CLSW 304 BLOCO C LOJA 44","44","","SETOR SUDOESTE","9701","DF","70673633"
"60713929000190","QUADRA 1 CONJUNTO A 01","01","","ITAPOA I","9701","DF","71590203"
"04162314000141","21 LOTES 01/03","01/03","LOJA D SETOR LESTE","GAMA","9701","DF","72491010"
"04162320000107","AC RUA 05 SUL LOTE 07","07","LOJA  01 TERREO","AGUAS CLARAS","9701","DF","71937180"
